Nr;Event;Purity;CMM;SSQ;BSS;SilhCoeff;Rand statistic;
0;;0.7577586206896552;0.7243445874442564;13.490263887161493;94.77527136360094;0.5928489872943938;0.49993793793793795;
1;;0.75;0.7083531801614911;14.447759684142142;66.8296114571952;0.6191143032588842;0.5508888888888889;
2;;0.7250216450216451;0.7229456033397088;15.486861805705397;109.99531885349614;0.6447750714554908;0.5061121121121122;
3;;0.7523148148148148;0.7376161005905242;13.74348651914221;84.59527685127097;0.6942502918151238;0.5053893893893894;
4;;0.7467195767195767;0.719661944313327;13.153412510890654;101.92393507486084;0.6694598139519988;0.5139739739739739;
5;;0.8295940170940171;0.6936645400580366;16.39250244276444;67.08061505144921;0.7619419864367285;0.5086626626626627;
6;;0.7372294372294371;0.704877523470633;11.489743778723238;89.88085020701699;0.706352489646644;0.5032472472472472;
7;;0.8099020759890326;0.7175435865000721;12.879404973850807;86.74800645368582;0.6325962131389433;0.5021761761761762;
8;;0.7845959595959596;0.7070135179200276;10.87805578272854;97.40958277025561;0.6361888210178495;0.5037197197197197;
9;;0.7085481577246283;0.7153340320461792;11.595705846742892;91.04890617818509;0.5810726249027293;0.5002182182182182;
10;;0.7035964912280701;0.7176752332551863;10.96865431977532;98.06727197652674;0.688423654751356;0.500028028028028;
11;;0.6390640061692694;0.6557302998351168;28.710183507215927;104.78639928438203;0.6038150253199492;0.5069829829829829;
12;;0.7350213128729753;0.7216905523310231;13.402588396079901;110.95652602539845;0.603175461163135;0.5004744744744745;
13;;0.9107769644589471;0.7234040403061347;11.25650054131551;95.76796798360718;0.7115413823440928;0.5016296296296296;
14;;0.800103519668737;0.7187828200303725;11.046944720731064;94.32102807631946;0.7270174407112221;0.500940940940941;
15;;0.756140350877193;0.7257615537016453;12.600260614833166;111.91839877977289;0.6556684170053441;0.5016416416416416;
16;;0.7391228070175438;0.6956053018755636;11.037154665682937;87.17589602274842;0.6598791049873798;0.5247147147147148;
17;;0.8402159244264507;0.7717565949134835;29.905837622078455;79.36350519371679;0.711441277575984;0.5053773773773774;
18;;0.8470019342359768;0.7823473429590875;28.896899378015338;161.64874004291443;0.5990040617219261;0.5273913913913914;
19;;0.8156043956043956;0.7782307926127034;32.3100024842753;147.7392548934506;0.7216341259486538;0.5013913913913914;
20;;0.809252386002121;0.792204207217155;35.9019134643003;107.60727556824475;0.6672373317429536;0.5021721721721721;
21;;0.8046567505720823;0.8063677610691805;36.35601529199494;139.22235196472548;0.6797424094691985;0.5371771771771772;
22;;0.8172222222222223;0.803640891552945;37.8078005388048;113.82348310157184;0.7501816333588511;0.49473873873873875;
23;;0.6892640692640694;0.7691544038608754;36.52740777202912;145.27100061499848;0.668502409133133;0.5042082082082082;
24;;0.7248935588221302;0.7931323387598276;35.065644631475735;89.25637226052913;0.576190534305639;0.5203943943943944;
25;;0.7198547215496369;0.7770267803588685;30.47999942437076;143.000838889381;0.7104920141911031;0.5123263263263264;
26;;0.8115738667462805;0.7995874629490168;24.198584426645873;116.55483806858095;0.6827557057847864;0.5161461461461462;
27;;0.7376462047269501;0.8068717986367855;40.01966777445222;381.5657592181842;0.616608191511068;0.5102102102102102;
28;;0.8250134952766531;0.755225519451559;41.185608517841615;152.24239095311026;0.6832261291809364;0.5073593593593594;
29;;0.9061278195488722;0.8254588702946162;47.48969198559833;144.83719383521682;0.7025459155389702;0.49823223223223223;
30;;0.6995173745173745;0.7914651613839069;32.40225771161415;179.51524696717564;0.6237300102970486;0.5164684684684685;
31;;0.7767995746943115;0.7793971166968109;37.588118162295196;399.4087259140206;0.6731237478504946;0.509009009009009;
32;;0.9020634920634922;0.7894501095005397;31.608336915517928;145.15512800280925;0.7478806456460185;0.5031671671671671;
33;;0.8140055266371057;0.7601046217861112;36.40440785001769;141.923802335377;0.7466093022082365;0.5060740740740741;
34;;0.7285322864270232;0.782427559996095;26.69790144407992;128.62863058765416;0.632830834316179;0.509045045045045;
35;;0.7865481848518556;0.7920751988822442;37.622549195655466;364.130061363821;0.650901666910348;0.5291251251251251;
36;;0.7478235117708802;0.8327131403787358;31.403664781023863;245.69800012186414;0.6749747548819423;0.5094774774774775;
37;;0.8356402218471184;0.7873525993982022;52.388748414056145;206.48630050367422;0.6383697966016417;0.5312092092092092;
38;;0.7746515151515151;0.7917575264024769;32.12973864409382;107.39784655980668;0.7228557355306667;0.5009829829829829;
39;;0.7345962732919256;0.7784509231224204;36.12854140789673;145.50721680167123;0.6870120891581439;0.5123023023023023;
40;;0.7242434575938412;0.7937665761627802;33.31660611714802;121.42619412536389;0.6688867742152116;0.5039539539539539;
41;;0.7763089851325146;0.7880043216510163;30.255674356716067;115.79622500227367;0.720571797816173;0.5027887887887887;
42;;0.8099747802107149;0.8100019618470777;39.732229957372155;129.78471688364914;0.6239518641006653;0.5028968968968969;
43;;0.757760532150776;0.7773829525079595;27.797079494158734;130.5461138830821;0.6919734396895638;0.514102102102102;
44;;0.8543794201441258;0.7861746717318631;26.370652411424697;119.7139835355741;0.7205980962661316;0.5075235235235235;
